,AidData Project ID,aiddata_id,aiddata_2_id,year,donor,donor_iso,donor_region,implementing_agency,financing_agency,crs_bi_multi,recipient,recipient_iso,recipient_region,start_date,end_date,commitment_date,planned_start_date,planned_end_date,title,short_description,long_description,donor_project_id,donor_secondary_id,aiddata_sector_code,aiddata_sector_name,aiddata_purpose_code,aiddata_purpose_name,aiddata_activity_codes,aiddata_activity_names,flow_name,crs_sector_code,crs_sector_name,crs_purpose_code,crs_purpose_name,coalesced_purpose_code,coalesced_purpose_name,commitment_amount_usd_constant,total_project_cost,crs_trade,crs_climate,crs_biodiversity,crs_gender,crs_environment,crs_desertification,pdgg,channel_code,associated_financing,future_ds_principal_amount_usd_nominal,future_ds_interest_amount_usd_nominal,received_amount_usd_nominal,irtc_amount_usd_nominal,untied_amount_usd_nominal,tied_amount_usd_nominal,partial_tied_amount_usd_nominal,finance_t,arrears_interest_amount_usd_nominal,arrears_principal_amount_usd_nominal,initial_report,ftc,repay_type,outstanding_amount_usd_nominal,interest_amount_usd_nominal,expert_commitment_amount_usd_nominal,export_credit_amount_usd_nominal,expert_extended_amount_usd_nominal,additional_info,source,source_detail
264723,,97279166,NA,2010,Spain,ES,Europe,ND,MUNIC,1,Peru,PE,South America,1/1/10,12/31/10,1/1/10,NA,NA,ND,REPRODUCTIVE HEALTH CARE,"Ampliacií_n de la clí_nica de Qotoqincho, mediante creacií_n de una unidad materno-infantil. IV Fase.",2010-BIL-EELL-28674,2010013592,130,Population policies/ programmes and reproductive health,NA,,,,ODA Grants,130,I.3. Population Pol./Progr. & Reproductive Health,13020,Reproductive health care,13020,Reproductive health care,9124,0,0,0,0,2,0,NA,0,22000,NA,0,0,0,0,8609.271523,0,0,C01,0,0,1,NA,NA,0,0,0,0,0,,OECD,CRS Online 2012
1096344,50094913,96199837,NA,2010,Spain,ES,Europe,Gabriel Rení© Moreno Autonomus University of Valencia,MFA,1,Peru,PE,South America,1/1/10,1/1/11,1/1/10,NA,NA,PIFTE - Iberoamerican program for specialized technical training,WATER RESOURCES PROTECTION,"XVII Curso Superior Internacional de Restauracií_n Hidrolí_gico-Forestal, Control de la Erosií_n y Defensa contra la Desertificacií_n y Manejo de Cuencas Hidrogríçficas",2010-MBI-AGE-18905,2010005658,140,Water supply and sanitation,14015,Water resources protection,15150.01,"Strengthening civil society, activity unspecified or does not fit elsewhere in group",ODA Grants,140,I.4. Water Supply & Sanitation,14015,Water resources protection,14015,Water resources protection,6602,0,0,0,2,0,2,NA,0,47000,NA,0,0,0,0,6229.165563,0,0,E01,0,0,1,1,NA,0,0,0,0,0,,OECD,CRS Online 2012
1140748,,119564233,NA,2012,Spain,ES,Europe,Fundacií_n Internacional de Apoyo al Desarrollo Local y Social (FIADELSO),MUNIC,1,Peru,PE,South America,7/31/12,7/30/13,1/1/12,NA,NA,Guaranteeing the access to sustainable access to water resources for the peasant communities of the Ccatccamayo micro-basin in Cuzco.,GUARANTEEING THE ACCESS TO SUSTAINABLE ACCESS TO WATER RESOURCES FOR THE PEASANT COMMUNITIES OF THE CCATCCAMAYO MICRO-BASIN IN CUZCO.,Garantizar el acceso sostenible a recursos hí_dricos para las comunidades campesinas de la microcuenca de Ccatccamayo en Cuzco :: Promocií_n de la gestií_n integral de los recursos hí_dricos mediante la recuperacií_n y conservacií_n de los ecosistemas y el uso racional del agua para riego en la actividad agraria.,2012-FEMP-11056-1,2012005659,311,Agriculture,NA,,,,ODA Grants,311,III.1.a. Agriculture,31140,Agricultural water resources,31140,Agricultural water resources,15673,0,0,0,0,1,2,NA,0,22000,NA,0,0,0,0,14531.6838,0,0,C01,0,0,1,1,NA,0,0,0,0,0,,OECD,OECD Online 2012 - 2014 July
892047,,105574234,NA,2011,Japan,JP,Far East Asia,RECIPIENT GOVERNMENT,JICA,1,Peru,PE,South America,1/1/11,12/31/11,1/1/11,NA,NA,TC AGGREGATED ACTIVITIES,AGRICULTURAL POLICY & ADMIN. MGMT,,,2011953855,311,Agriculture,31110,Agricultural policy and administrative management,72050.01|72010.01,Relief co-ordination; protection and support services|All non-food relief items and assistance,ODA Grants,311,III.1.a. Agriculture,31110,Agricultural policy & admin. mgmt,31110,Agricultural policy and administrative management,274521,0,NA,NA,NA,NA,NA,NA,NA,12000,NA,0,0,0,0,0,0,0,C01,0,0,1,1,NA,0,0,0,0,0,,OECD,CRS Online 2012
258553,,97053893,NA,2010,Spain,ES,Europe,PRODENŒæFOUNDATION,AG,1,Peru,PE,South America,1/1/11,1/1/13,1/1/10,NA,NA,Economic and social empowerment of microenterprises of the Lima's Northern Cone,ECONOMIC AND SOCIAL EMPOWERMENT OF MICROENTERPRISES OF THE LIMA'S NORTHERN CONE,"El proyecto busca reducir el riesgo de vida y pobreza de las mujeres de dos distritos del cono norte de Lima, mediante el desarrollo de sus capacidades econí_micas y sociales, con la articulacií_n coordinada de tres lí_neas de trabajo y que son: el acceso al crí©dito, el desarrollo de sus capacidades tecnolí_gicas y gerenciales y el auto-cuidado de su salud.Con el proyecto se espera desarrollar las capacidades econí_micas y sociales de 500 microempresarios/as constituidas en su mayorí_a por mujeres en condiciones de pobreza y con escasas oportunidades de desarrollo sostenido. Los resultados esperados que se esperan alcanzar con su ejecucií_n son:a.- Que las microempresarias accedan a crí©ditos para la inversií_n en sus negocios.b.- Que las microempresarias mejoren sus tí©cnicas de produccií_n y gestií_n para la comercializacií_n de sus productos.c.- Que se mejoren las condiciones de salud de las familias de las mujeres microempresarias.La estrategia de intervencií_n propuesta considera la puesta en marcha de servicios financieros y servicios no financieros. Los Servicios financieros: que comprenden el acceso al crí©dito en efectivo bajo la metodologí_a de bancos comunales, grupos solidarios y crí©ditos individuales y los, Servicios no financieros: que comprenden el desarrollo de las capacidades de las personas, potencializando sus habilidades, actitudes y deseos de superacií_n, sabií©ndose capaces de asumir nuevos retos y lograr sus objetivos. Mayor informacií_n: ver anexo 1.1",2010-BIL-CCAA-22502,2010006222,321,Industry,NA,,,,ODA Grants,321,III.2.a. Industry,32130,Sme development,32130,Small and medium-sized enterprises (SME) development,411453,0,2,0,0,1,1,NA,0,22000,NA,0,0,0,0,388224.702,0,0,C01,0,0,1,NA,NA,0,0,0,0,0,,OECD,CRS Online 2012
1141587,,119593347,NA,2012,Belgium,BE,Europe,private / consultants,DGCD,3,Peru,PE,South America,12/31/10,12/30/13,1/1/12,NA,NA,P?rou - Offre de service de Formation professionnelle en zone rurale et p?riurbaine,P?ROU - OFFRE DE SERVICE DE FORMATION PROFESSIONNELLE EN ZONE RURALE ET P?RIURBAINE,"Suite du programme 2008-2010 Le groupe cible est constitu? des familles rurales tr?s vuln?rables du P?rou.Secteur 1 : 5.700 familles rurales de tout le pays (au moins 100 familles/CEFFA x 57 CEFFAs). Les familles b?n?ficiaires des partenariats de DISOP ont am?lior? leur capacit? d'acc?der et/ou garder un emploi dans une perspective de d?veloppement durable. OSS16 P?rou - Offre de service de Formation professionnelle en zone rurale et p?riurbaine Les familles des zones rurales ou p?riurbaines ont acc?s ? une formation int?grale et professionnelle, pertinente et viable, centr?e sur leur r?alit?.En 2013, au P?rou il y a -57 centres de formation (CEFFAs) en fonctionnement.-5.035 ?l?ves en formation.-75% des ?l?ves cl?turent leur formation en pr?sentant leur Projet Professionnel.-Les ?valuations qualitatives montrent que les jeunes sortent des CEFFAs avec les comp?tences n?cessaires ? leur insertion professionnelle.-Les ?valuations qualitatives montrent que les CEFFAs ont un impact positif sur leur milieu. R1: Les centres de formation appliquent une p?dagogie ad?quate. -492 formateurs engag?s dans les CEFFAs.En 2013, les rapports de visite aux CEFFAs et une ?valuation p?dagogique (score de 1 ? 4) montrent que:1 Tous les CEFFAs ont un Plan de Formation d?taill? et ?laborent des rapports annuels,2. Les CEFFAs appliquent mieux les 7 instruments de la p?dagogie de l?alternance,3. Tous les CEFFAs ont une gestion administrative qui r?pond aux normes du Minist?re de l??ducation,4. Les ?l?ves sortant des CEFFAs ont acc?s ? des dipl?mes du Minist?re de l??ducation. R2 : Les centres de formation sont g?r?s avec efficacit?, par des organisations locales, dans une logique de p?rennit?.En 2013, une ?valuation qualitative (score de 1 ? 4) de la vie associative montre une participation croissante des familles et un r?le croissant de l?association dans la gestion des CEFFAs par rapport ? l??valuation de fin 2010, d?but 2011.R3 : PRORURAL est une organisation r?gionale d'appui aux CEFFAs bien g?r?e et efficace.-Des ?valuations institutionnelles avant/apr?s (score de 1 ? 4) t?moignent de la consolidation institutionnelle des 3 organisations.-Les indicateurs de r?sultats du partenariat sont atteints.-ProRural a mis en place une strat?gie claire pour r?duire le co?t de l?assistance technique.",3012742,2012012742,113,Secondary education,NA,,,,ODA Grants,113,I.1.c. Secondary Education,11330,Vocational training,11330,Vocational training,284148,0,NA,NA,NA,1,NA,NA,NA,22000,NA,0,0,0,0,268074.5501,0,0,B01,0,0,8,NA,NA,0,0,0,0,0,,OECD,OECD Online 2012 - 2014 July
761682,,108415047,NA,2011,Spain,ES,Europe,MOTHER COURAGE ASSOCIATION,AG,1,Peru,PE,South America,12/27/11,12/27/12,1/1/11,NA,NA,Socioeconomic development of Andean highlands families on the basis of the alpaca productive chain in the provinces of Huancavelica and Angares,SOCIOECONOMIC DEVELOPMENT OF ANDEAN HIGHLANDS FAMILIES ON THE BASIS OF THE ALPACA PRODUCTIVE CHAIN IN THE PROVINCES OF HUANCAVELICA AND ANGARES,"Tiene como propí_sito que productores primarios y agroindustriales de camí©lidos domí©sticos desarrollen habilidades sociales y competencias empresariales e incrementen la rentabilidad de la actividad alpaquera, insertíçndose competitivamente al mercado. Los beneficiarios directos son 242 familias de 10 Comunidades campesinas, la Cooperativa Agropecuaria Rural Andina, Organizaciones econí_micas y los Gobiernos Locales; y se contaríç con la colaboracií_n de la Universidad y el Gobierno Regional. Sus lí_neas principales son: 1. Desarrollo de capacidades de productores/as y organizaciones comunales en gestií_n social que favorezcan su desarrollo, con equidad de gí©nero. 2. Incremento de la produccií_n y productividad en los rebaí±os mediante la adopcií_n de Buenas Príçcticas de Crianza e incremento de la oferta forrajera. 3. Desarrollo de la agroindustria de fibra, carne y piel. 4. Desarrollo de la actividad empresarial de los actores econí_micos a nivel de la produccií_n primaria y agroindustrial.",009-000801-1,2011000426,321,Industry,NA,,,,ODA Grants,321,III.2.a. Industry,32161,Agro-industries,32120,Industrial development,118187,0,2,0,0,0,0,NA,0,22000,NA,0,0,0,0,118186.8743,0,0,C01,0,0,1,NA,NA,0,0,0,0,0,,OECD,CRS Online 2012
1096291,50077693,96197898,NA,2010,Spain,ES,Europe,Gabriel Rení© Moreno Autonomus University of Valencia,MFA,1,Peru,PE,South America,1/1/10,1/1/14,1/1/10,NA,NA,"Promotion of the company's responsible action in the South, through education for development and piot experiences actions to explore the participati","PROMOTION OF THE COMPANY'S RESPONSIBLE ACTION IN THE SOUTH, THROUGH EDUC. FOR DEV & PIOT EXPERIENCES ACTIONS TO EXPLORE THE PARTICIPATION IN DEV INIT","El programa pretende ser un proceso innovador de aprendizaje de empresas, administraciones pí_blicas y ONGD, entre otros actores, para fomenta nuevas formas de actuacií_n de la empresa en paí_ses del Sur, orientadas a objetivos de desarrollo humano. Para ello se pretende, por un lado, investigar modalidades de colaboracií_n de las empresas con otros actores de la cooperacií_n en la contribucií_n al desarrollo del Sur, y realizar experiencias piloto en la materia, documentando y extrayendo lecciones del proceso.Por otro, incrementar los conocimientos, procedimientos, habilidades y actitudes de las empresas y otros actores espaí±oles en Espaí±a, que son necesarios para que la actividad empresarial repote mayores beneficios socioeconí_micos y ambientales a los colectivos vulnerables en el Sur.Se trabajaríç de forma coordinada con otros actores, a traví©s de la identificacií_n, diíçlogo y concertacií_n de los grupos de interí©s de las empresas, las poblaciones del Sur, empleados, organizaciones de la sociedad civil, administraciones pí_blicas, etc. De este modo, habríç dos espacios de trabajo, diferenciados pero interconectados. Las actuaciones en el Sur tendríçn como beneficiarios a la poblacií_n vulnerable y actores del Sur. En las acciones de educacií_n para el desarrollo el pí_blico objetivo seríçn estudiantes y docentes universitarios, profesionales de empresas y administraciones pí_blicas y otros actores del Norte (ONGD, medios de comunicacií_n, etc.). Transversalmente a ambos espacios, se promoveríçn procesos de informacií_n, sistematizacií_n, reflexií_n y diíçlogo multiactor.Para conseguir los objetivos perseguidos se efectuaríçn acciones coordinadas en distintos íçmbitos: estudios, sensibilizacií_n, formacií_n, incidencia, trabajo en red y proyectos de desarrollo. Las actuaciones se centraríçn en los paí_ses donde ISF ApD estíç trabajando (Espaí±a, Nicaragua, Perí_ y Mozambique), así_ como en los sectores en los que cuenta con conocimientos y experiencia (agua e infraestructuras, energí_a, TIC, desarrollo agropecuario y gestií_n territorial)",2010-BIL-AGE-1487,2010001487,250,Business and other services,25010,Business support services and institutions,73010.04,Reconstruction assistance,ODA Grants,250,II.5. Business & Other Services,25010,Business support services & institutions,25010,Business support services and institutions,1403752,0,0,0,0,1,0,NA,1,22000,NA,0,0,0,0,0,0,1324503.311,C01,0,0,1,NA,NA,0,0,0,0,0,,OECD,CRS Online 2012
881851,,105131067,NA,2011,Canada,CA,North & Central America,Disabled Peoples' International,CIDA,1,Peru,PE,South America,4/4/11,9/30/15,1/1/11,NA,NA,Sustainable Livelihoods Through Co-operatives / Moyens de subsistance durables grí¢ce aux coopí©ratives,SUSTAINABLE LIVELIHOODS THROUGH CO-OPERATIVES / MOYENS DE SUBSISTANCE DURABLES GRí‰CE AUX COOPí_RATIVES,"The program aims to promote the cooperative model to support economic growth and improve food security in communities. The expected results are: (1) Viable co-operatives provide timely, relevant and gender-sensitive programs and services to members; (2) Government decision-makers are influenced by co-operative sector; (3) Increased social and economic empowerment of women and men; and (4) Effective participation of Canadians in promoting gender equitable sustainable economic and social growth in participating countries. These results are expected to contribute to strengthening specific areas of expertise, including human resource development, governance training, business planning, marketing training, and technical assistance. / Ce programme vise íæ faire la promotion du modíÂle coopí©ratif afin d'appuyer la croissance í©conomique et d'amí©liorer la sí©curití© alimentaire dans les communautí©s. Les rí©sultats anticipí©s sont : 1) Des coopí©ratives viables fournissent íæ leurs membres des programmes et des services ponctuels, pertinents, et qui tiennent compte des í©carts entre les hommes et les femmes ; 2) Les dí©cideurs du gouvernement sont influencí©s par le secteur coopí©ratif ; 3) Renforcement de l'autonomie sociale et í©conomique des femmes et des hommes ; 4) Participation efficace des Canadiens dans la promotion d'une croissance í©conomique et sociale durable et plus í©quitable pour les femmes dans les pays visí©s. Il est attendu que ces rí©sultats contribuent au renforcement des secteurs d'expertises spí©cifiques, y compris le dí©veloppement des ressources humaines, la formation en gouvernance, la planification des affaires, la formation en marketing, et de l'assistance technique.",S065113001,2.01E+13,151,"Government and civil society, general",15105,"Government and civil society, purpose unspecified or does not fit under any other applicable codes",15150.03|15150.02|15150.04,Cooperatives|Community participation and development|Grassroots organizations,ODA Grants,311,III.1.a. Agriculture,31191,Agricultural services,15105,"Government and civil society, purpose unspecified or does not fit under any other applicable codes",130209,0,0,0,0,2,2,NA,0,22000,NA,0,0,0,0,130209.2812,0,0,C01,0,0,1,NA,NA,0,0,0,0,0,,OECD,CRS Online 2012
258490,,97051638,NA,2010,Spain,ES,Europe,RODE FOUNDATION,AG,1,Peru,PE,South America,1/1/10,1/1/11,1/1/10,NA,NA,"Food Security in Los Andes,through the technical promotion of the South American camelids, upbringing of sheep and cuyes",LIVESTOCK,ND,2010-BIL-CCAA-24482,2010008202,311,Agriculture,NA,,,,ODA Grants,311,III.1.a. Agriculture,31163,Livestock,31120,Agricultural development,34923,0,0,0,0,0,1,NA,0,22000,NA,0,0,0,0,32951.01987,0,0,C01,0,0,1,NA,NA,0,0,0,0,0,,OECD,CRS Online 2012
1141581,,119593164,NA,2012,Belgium,BE,Europe,private / consultants,DGCD,1,Peru,PE,South America,12/31/08,12/30/12,1/1/12,NA,NA,Promotion du droit ? la sant? des plus pauvres,PROMOTION DU DROIT ? LA SANT? DES PLUS PAUVRES,"Le secteur le plus pauvre, exclu et marginalis? de la population p?ruvienne ; les organisations de la soci?t? civile qui travaillent dans le domaine de la sant? ; la sph?re acad?mique ; les m?dias, toutes les entit?s gouvernementales li?es au secteur de la sant? et leurs fonctionnaires ainsi que la coop?ration internationale. Contribuer ? l?am?lioration de la sant? de la population p?ruvienne d?favoris?e et exclue La formulation et l?ex?cution de politiques publiques qui garantissent le droit ? la sant? des plus pauvres et exclus se sont am?lior?s avec la participation de la soci?t? civile. R?sultat 1 : Le r?seau de patients et d?autres organisations de la soci?t? civile qui travaillent dans le domaine de la sant? sont form?s et re?oivent un suivi technique.R?sultat 2.1 : Un agenda concernant des recherches au sujet des maladies qui touchent le secteur moins favoris? de la soci?t? p?ruvienne est d?fini en concertation avec les acteurs impliqu?s, et se traduit par la mise en place de r?formes sanitaires qui cherchent la participation, la qualit?, l?efficience et l??quit?. R?sultat 2.2 : Le r?seau de patients, ForoSalud, la Defensor?a del Pueblo, le Gouvernement r?gional, le SIS, le Conseil National de la Sant? et les bailleurs de fonds sont inform?s sur le contenu des recherches ?labor?es et am?liorent leurs programmes de sant?. R?sultat 3.1 : Des groupes de travail se sont form?s avec la participation des universit?s, des organisations de la soci?t? civile qui travaillent dans le domaine de la sant?, du r?seau de patients, du SIS, de la Defensor?a del Pueblo et du Gouvernement r?gional comme espaces de travail et de dialogue au niveau national et r?gional.R?sultat 3.2 : Deux Conf?rences nationales de sant? sont organis?es et ont pour but la mobilisation nationale et internationale afin de d?velopper des alliances strat?giques qui visent l?am?lioration du droit ? la sant? ainsi que l??quit? et l?efficience de l?acc?s aux services de sant?.R?sultat 4.1 : Les m?dias et le grand public sont sensibilis?s sur le r?le de la sant? comme un droit de base et comme composant principal du d?veloppement ?conomique et social.R?sultat 4.2 : Le mod?le de croissance ?conomique incorpore la sant? comme facteur de d?veloppement du capital humain.",3006098,2012006098,121,"Health, general",NA,,,,ODA Grants,121,"I.2.a. Health, General",12110,Health policy & admin. management,12110,Health policy and administrative management,41724,0,NA,NA,NA,1,NA,NA,NA,23000,NA,0,0,0,0,39363.75321,0,0,C01,0,0,8,1,NA,0,0,0,0,0,,OECD,OECD Online 2012 - 2014 July
801736,,116402026,NA,2012,France,FR,Europe,ONG basí©e dans un pays en dí©veloppement,MEN,1,Peru,PE,South America,,,1/1/12,NA,NA,"Risques naturels, climats et ressources non renouvelables : impacts pour l'environnement et les populations du Sud","RISQUES NATURELS, CLIMATS & RESSOURCES NON RENOUVELABLES : IMPACTS POUR L'ENVIRONNEMENT & LES POPULATIONS DU SUD",Modí©lisations des alí©as et des risques Gí©odynamiqueS,,2012176357,740,Disaster prevention and preparedness,74010,Disaster prevention and preparedness,21030.02,"Rail infrastructure, rail equipment, locomotives, other rolling stock",ODA Grants,740,VIII.3. Disaster Prevention & Preparedness,74010,Disaster prevention and preparedness,74010,Disaster prevention and preparedness,129383,0,0,0,0,NA,0,NA,0,11000,NA,0,0,0,0,121440.2571,0,0,D02,0,0,8,1,NA,0,0,0,0,0,,OECD,OECD Online 2012 - 2014 July
264641,,97276257,NA,2010,Spain,ES,Europe,ND,MUNIC,1,Peru,PE,South America,1/1/10,12/31/10,1/1/10,NA,NA,ND,WATER RESOURCES POLICY/ADMIN. MGMT,"Gestií_n integrada de los recursos hí_dricos con un enfoque de gí©nero en la Sub Cuenca Huatanay, Cuzco.",2010-BIL-EELL-29300,2010014218,140,Water supply and sanitation,NA,,,,ODA Grants,140,I.4. Water Supply & Sanitation,14010,Water resources policy/admin. mgmt,14010,Water resources policy and administrative management,8423,0,0,0,0,1,0,NA,1,22000,NA,0,0,0,0,7947.019868,0,0,C01,0,0,1,1,NA,0,0,0,0,0,,OECD,CRS Online 2012
1338884,9.06E+11,94540524,NA,2010,Switzerland,CH,Europe,,Seco,1,Peru,PE,South America,12/3/10,12/31/10,1/1/10,NA,NA,Support to the Ministry of Finance of Peru for the Creation of a Study Group,SUPPORT TO THE MINISTRY OF FINANCE OF PERU FOR THE CREATION OF A STUDY GROUP,"Support to the PFM reform process in Peru The main objective of the project is to provide support to the MoF for the establishment and implementation of a global PFM strengthening programme with a common medium term perspective around which to organize existing and future PFM reform initiatives. The programme will aim at improving i) credibility of the budget, ii) comprehensiveness and transparency, iii) policy based budgeting, iv) predictability and control of budget execution, v) accounting, recording and reporting of budget information, and vi) external scrutiny and audit. The strategic objectives set by the MoF for the period 2011-2015 are: 1.,,to consolidate and expand a medium term framework for budget formulation, 2.,,to build up and fortify results based budgeting, 3.,,to modernize PFM with the implementation of a new and up-to-date integrated information system which is adequately linked to all other transversal management systems (public investment, procurement, human resource management), 4.,,to strengthen the systems for performance evaluation and accountability, 5.,,to introduce effective mechanisms and instruments for asset/liability management.",UR-00529.01.01,2010001980,151,"Government and civil society, general",NA,,,,ODA Grants,151,I.5.a. Government & Civil Society-general,15111,Public finance management,15120,Public sector financial management,225969,0,0,0,0,0,0,NA,2,52000,NA,0,0,0,0,0,191809.7248,0,C01,0,0,1,1,NA,0,0,0,0,0,,OECD,CRS Online 2012
652919,,50073900,50073900,2009,Spain,ES,Europe,OTHER,UNIV,1,Peru,PE,South America,1/1/09,,1/1/09,NA,NA,GRANTS FOR INTERNATIONAL VOLUNTEERS IN DEVELOPMENT COOPERATION PROJECTS,GRANTS FOR INTERNATIONAL VOLUNTEERS IN DEVELOPMENT COOPERATION PROJECTS,"SAN JUAN SALAS, DANIEL",11033,2009006813,430,Other,NA,,,,ODA Grants,430,IV.2. Other Multisector,43081,Multisector education/training,43081,Multisector education/training,1973,0,0,0,0,0,0,NA,0,50000,NA,0,0,0,0,0,0,1949.589194,,0,0,1,1,NA,0,0,0,0,0,,OECD,CRS_ONLINE_MAY2011
881868,,105131710,NA,2011,Canada,CA,North & Central America,Disabled Peoples' International,CIDA,1,Peru,PE,South America,6/28/11,12/19/14,1/1/11,NA,NA,Building Collaboration for Sustainable Economic Growth / Bí¢tir une collaboration en vue d'un dí©veloppement í©conomique durable,BUILDING COLLABORATION FOR SUSTAINABLE ECONOMIC GROWTH / Bí‰TIR UNE COLLABORATION EN VUE D'UN Dí_VELOPPEMENT í_CONOMIQUE DURABLE,"The goal of the project is to improve economic and social development in the district of Quiruvilca in the La Libertad region of Peru for local households, with a particular emphasis on women and youth. World Vision Canada works with local authorities to set up a Local Economic Development Committee that has three main responsibilities: 1) review the local economic development plan in order to ensure diversification and sustainability of the economy; 2) plan and submit economic development projects to be funded by the central level; and 3) create and manage a Community Investment Fund that finances small income-generating projects in agriculture in the municipality. The expected results for the municipality are: 1) increased income and standards of living of men, women and youth from 875 families; 2) enhanced institutional capacity of local authorities towards economic development; and 3) improved cross-sector partnerships for community development. / Le but du projet est d'amí©liorer le dí©veloppement í©conomique et social des foyers du district de Quiruvilca dans la rí©gion de La Libertad au Pí©rou en visant particuliíÂrement les femmes et les jeunes. Pour atteindre cet objectif, Vision Mondiale Canada travaille avec les autorití©s locales afin d'í©tablir un Comití© local de dí©veloppement í©conomique ayant trois responsabilití©s principales : 1) revoir le plan de dí©veloppement í©conomique local afin d'assurer la diversití© et la viabilití© de l'í©conomie, 2) planifier et soumettre des projets de dí©veloppement í©conomique íæ íÈtre financí©s au niveau central, 3) crí©er et gí©rer un Fonds d'investissement communautaire finaní€Œ_ant de petits projets gí©ní©rateurs de revenus en agriculture dans la municipalití©. Les rí©sultats escomptí©s pour la municipalití© sont : 1) une augmentation du revenu et de la qualití© de vie des hommes, femmes et jeunes provenant de 875 familles, 2) une capacití© institutionnelle rehaussí©e pour les autorití©s locales en matiíÂre de dí©veloppement í©conomique, 3) des partenariats de secteurs transversaux amí©liorí©s pour le dí©veloppement í©conomique.",S065170001,2.01E+13,311,Agriculture,31191,"Agricultural services, purpose",15110.03,"Institutional capacity building, Government",ODA Grants,311,III.1.a. Agriculture,31193,Agricultural financial services,31191,"Agricultural services, purpose",107168,0,0,0,0,2,1,NA,0,22000,NA,0,0,0,0,107168.1326,0,0,C01,0,0,1,NA,NA,0,0,0,0,0,,OECD,CRS Online 2012
87321,94660374,50019278,50019278,2009,Germany,DE,Europe,Public sector,BMZ,1,Peru,PE,South America,,,1/1/09,NA,NA,"Anti-Corruption Strategies in resource rich countries, Supporting Transparency and Implementation of the EITI-Criteria in the participating countries","ANTI-CORRUPTION STRATEGIES IN RESOURCE RICH COUNTRIES, SUPPORTING TRANSPARENCY AND IMPLEMENTATION OF THE EITI-CRITERIA IN THE PARTICIPATING COUNTRIES","Anti-Corruption Strategies in resource rich countries, Supporting Transparency and the Implementation of the EITI-Criteria in the participating countries of the Extractive Industries Transparency Initiative",ST0927269,2009003230,151,"Government and civil society, general",15120,Public sector financial management,72020.01,All emergency health services/support activities,ODA Grants,151,I.5.a. Government & Civil Society-general,15113,Anti-corruption organisations and institutions,15120,Public sector financial management,6730,0,NA,NA,0,1,1,NA,2,10000,NA,0,0,0,0,2252.3,4372.12,0,,0,0,8,1,NA,0,0,0,0,0,,OECD,CRS_ONLINE_MAY2011
365033,,117441413,NA,2012,Korea,KR,Far East Asia,Chungcheongbuk-do Office of Education,MISC,1,Peru,PE,South America,12/31/11,12/30/12,1/1/12,NA,NA,Korea IT Learning Program,PUBLIC SECTOR POLICY AND ADM. MANAGEMENT,"- Korea ICT Learning (KoIL) Program invites policy makers, public officials, and experts in the ICT field to share the newest technologies and issues to be reflected on national policies and plans in order to address their social and economic challenges of using ICT tools. - Participants at KoIL courses learn ICT development strategies, discuss current issues and trends, and seek means of cooperation to advance their nations' strategies on e-governance and incorporation of new technologies.",20121200008,2012004386,220,Communications,22040,Information and communication technology (ICT),15110.03|22040.01,"Institutional capacity building, Government|Information and communication technology (ICT), activity unspecified or does not fit elsewhere in group",ODA Grants,151,I.5.a. Government & Civil Society-general,15110,Public sector policy and adm. management,22040,Information and communication technology (ICT),14958,0,0,0,0,0,0,NA,0,11000,NA,0,0,0,0,0,14898,0,E01,0,0,8,1,NA,0,0,0,0,0,,OECD,OECD Online 2012 - 2014 July
770207,,108699267,NA,2011,Spain,ES,Europe,OEI. Organization of Iberoamerican States for Education Science and Culture.,Oth. Min.,1,Peru,PE,South America,5/9/11,6/9/11,1/1/11,NA,NA,"Qualification workshop for the evaluation of Prevention programs. Semminary AECID (9-13 May, 2011).","QUALIFICATION WORKSHOP FOR THE EVALUATION OF PREVENTION PROGRAMS. SEMMINARY AECID (9-13 MAY, 2011).","Gastos de participacií_n de dos expertos en el Taller de Capacitacií_n para la Evaluacií_n de Programas de Prevencií_n , celebrado en el Centro de Formacií_n de la Cooperacií_n Espaí±ola de AECID en La Antigua (Guatemala) del 9 al 13 de mayo de 2011.",009-000089-9,2011000050,121,"Health, general",12110,Health policy and administrative management,15130.06|16010.05|15150.07,Law enforcement and crime prevention|Support for vulnerable groups|Human rights,ODA Grants,121,"I.2.a. Health, General",12110,Health policy & admin. management,12110,Health policy and administrative management,618,0,NA,0,0,0,0,NA,1,11000,NA,0,0,0,0,0,0,0,D01,0,0,1,1,NA,0,0,0,0,0,,OECD,CRS Online 2012
1328689,,93627303,NA,2010,Andean Development Corporation (CAF),,Multilaterals,,,NA,Peru,PE,South America,,,1/1/10,NA,NA,Majes Siguas project phase II,,"Objectives: Use the surplus waters of the Apurimac River by building branching, regulation, collection, and conduction works to promote agricultural and social development in the Siguas Region, in the Department of Arequipa.; Additional info:; Executing Agency: Republic of Peru, through the Regional Government of Arequipa, by means of the Special Majes Siguas Project, also called Autonomous Authority of Majes (Autodema)",,,311,Agriculture,31140,Agricultural water resources,31140.02|31140.01|31140.04,"Irrigation|Agricultural water resources, activity unspecified or does not fit elsewhere in group|Hydraulic structures",Not Reported,NA,,NA,,31140,Agricultural water resources,159796447,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,0,0,NA,NA,NA,0,0,0,0,0,,Third Party Data Import,
